geolocation_city,geolocation_state,total_sellers,avg_lat,avg_lng
araucaria,PR,2,-25.578642974768393,-49.36669699706418
andradas,MG,2,-22.07047143353818,-46.57354819165932
angra dos reis,RJ,2,-22.977726460112457,-44.465760279731334
xanxere,SC,2,-26.876415100422566,-52.403994657794016
xaxim,SC,1,-26.959436655053853,-52.53171511177201
aparecida,SP,1,-22.851231225609038,-45.24664690995327
aparecida de goiania,GO,1,-16.766552159923314,-49.33937440860811
aperibe,RJ,1,-21.62582998898821,-42.10489089799902
aracaju,SE,1,-10.913110813044037,-37.0617440450815
araquari,SC,1,-26.407378348238257,-48.75811272641001
ararangua,SC,1,-28.944044468843746,-49.49918340607663
araçatuba,SP,1,-21.211705991894554,-50.40363945155295
arinos,MG,1,-15.920350682439093,-46.10773503284158
arraial d'ajuda,BA,1,-16.400187212609048,-39.26274691403601
arvorezinha,RS,1,-28.87190543829348,-52.180111441190874
avare,SP,1,-23.103845020089445,-48.91419147685257
bagé,RS,1,-31.32726762241418,-54.106450230952454
tocantins,MG,1,-21.1726252218232,-43.0219328222331
torres,RS,1,-29.34114246818455,-49.74491959115231
balneário piçarras,SC,1,-26.760771390660455,-48.681909781747734
bandeirantes,PR,1,-23.111896862925292,-50.37155139815296
barra do jacare,PR,1,-23.112718429096926,-50.175860427059064
barra velha,SC,1,-26.660970150266756,-48.691953317317825
barrinha,SP,1,-21.190885638654144,-48.15620878829506
barro alto,BA,1,-11.76948844484253,-41.90185348124609
bebedouro,SP,1,-20.924599508487425,-48.49059077246631
bertioga,SP,1,-23.818390396829994,-46.080623703430774
camanducaia,MG,1,-22.75549974414299,-46.14001332890425
camboriu,SC,1,-27.02362385481353,-48.64826262904155
campanha,MG,1,-21.834793738633515,-45.40188042460609
campina das missoes,RS,1,-27.986799762328445,-54.84099998542986
campina grande,PB,1,-7.21946865312162,-35.89009882278153
campo magro,PR,1,-25.375606922660335,-49.38601129666979
campo mourao,PR,1,-24.034078488679658,-52.375641325826784
campos novos,SC,1,-27.399055235300438,-51.22556495735034
soledade,RS,1,-28.827449667113736,-52.50925488808854
braco do norte,SC,1,-28.274304945434466,-49.165211726860235
brejão,PE,1,-9.024839005157318,-36.57020044972058
brotas,SP,1,-22.282154968038324,-48.12510155957027
buritama,SP,1,-21.067287508771535,-50.14440187114213
cachoeira do sul,RS,1,-30.023143547065175,-52.91233224127847
caieiras,SP,1,-23.3908648121337,-46.71850647800803
california,PR,1,-23.665523235370998,-51.35659668422704
sao vicente,SP,1,-23.955980420412015,-46.38161452410678
sapiranga,RS,1,-29.63655061319904,-51.00782414855772
saquarema,RJ,1,-22.923756548355588,-42.50447966854643
serra redonda,PB,1,-7.185330489314501,-35.68043589181518
serrana,SP,1,-21.208159120071993,-47.60162092584304
sertanópolis,PR,1,-23.059061150910853,-51.037541668178726
sinop,MT,1,-11.83455242799876,-55.50810988391814
socorro,SP,1,-22.596373040143575,-46.50720671996104
itapui,SP,1,-22.23455857964727,-48.721835002175304
itau de minas,MG,1,-20.74428836520151,-46.75138057010448
itirapina,SP,1,-22.252002596014556,-47.81543112451409
ivoti,RS,1,-29.605286893562898,-51.16427789211877
içara,SC,1,-28.715980124328123,-49.299651376329926
jaciara,MT,1,-15.95127425196516,-54.98521595207802
medianeira,PR,1,-25.29320167334103,-54.095134218967516
messias targino,RN,1,-6.079137345909716,-37.51443645815574
ipe,RS,1,-28.8019037608538,-51.28985837084383
ipua,SP,1,-20.445531132262545,-48.01402332006467
irati,PR,1,-25.474093335032038,-50.65035940195514
irece,BA,1,-11.304164446373443,-41.855805030013435
itabira,MG,1,-19.63079871695884,-43.222253680108224
itapema,SC,1,-27.104775732474042,-48.62229620137128
itapeva,SP,1,-23.97414802490568,-48.87104664329509
itaporanga,SP,1,-23.705464946211745,-49.48636347801798
mandaguari,PR,1,-23.522116589381856,-51.6776633579356
mandirituba,PR,1,-25.770383610713115,-49.32480184605346
